train loss: 2.0544, acc: 0.3311
train loss: 1.5419, acc: 0.4851
validation loss: 1.6302, acc: 0.4674
train loss: 1.5355, acc: 0.4869
validation loss: 1.6373, acc: 0.4627
train loss: 1.5348, acc: 0.4871
validation loss: 1.6425, acc: 0.4654
train loss: 1.5320, acc: 0.4895
validation loss: 1.6255, acc: 0.4720
train loss: 1.5330, acc: 0.4877
validation loss: 1.6524, acc: 0.4586
train loss: 1.5267, acc: 0.4882
validation loss: 1.6253, acc: 0.4700
train loss: 1.5297, acc: 0.4893
validation loss: 1.6170, acc: 0.4684
train loss: 1.5209, acc: 0.4908
validation loss: 1.6681, acc: 0.4587
train loss: 1.5205, acc: 0.4912
validation loss: 1.6432, acc: 0.4723
train loss: 1.5222, acc: 0.4920
validation loss: 1.6071, acc: 0.4752
train loss: 1.5157, acc: 0.4916
validation loss: 1.6417, acc: 0.4641
train loss: 1.5186, acc: 0.4921
validation loss: 1.6727, acc: 0.4560
train loss: 1.5180, acc: 0.4927
validation loss: 1.6575, acc: 0.4636
train loss: 1.5190, acc: 0.4925
validation loss: 1.6310, acc: 0.4707
train loss: 1.5159, acc: 0.4923
validation loss: 1.6093, acc: 0.4703
train loss: 1.5081, acc: 0.4966
validation loss: 1.6895, acc: 0.4488
train loss: 1.5066, acc: 0.4950
validation loss: 1.6346, acc: 0.4706
train loss: 1.5104, acc: 0.4926
validation loss: 1.6225, acc: 0.4700
train loss: 1.5046, acc: 0.4957
validation loss: 1.6421, acc: 0.4679
train loss: 1.5046, acc: 0.4952
validation loss: 1.6608, acc: 0.4596
train loss: 1.5098, acc: 0.4975
validation loss: 1.6347, acc: 0.4591
train loss: 1.4952, acc: 0.4972
validation loss: 1.6175, acc: 0.4759
train loss: 1.4994, acc: 0.5004
validation loss: 1.5988, acc: 0.4774
train loss: 1.4996, acc: 0.4987
validation loss: 1.6263, acc: 0.4742
train loss: 1.4972, acc: 0.4993
validation loss: 1.6078, acc: 0.4778
train loss: 1.4955, acc: 0.4984
validation loss: 1.6562, acc: 0.4570
train loss: 1.4936, acc: 0.4996
validation loss: 1.6339, acc: 0.4708
train loss: 1.4953, acc: 0.5009
validation loss: 1.6522, acc: 0.4633
train loss: 1.4972, acc: 0.4984
validation loss: 1.6412, acc: 0.4647
train loss: 1.4931, acc: 0.5002
validation loss: 1.6219, acc: 0.4787
train loss: 1.4888, acc: 0.5016
validation loss: 1.6669, acc: 0.4617
train loss: 1.4897, acc: 0.5016
validation loss: 1.5987, acc: 0.4793
train loss: 1.4886, acc: 0.5032
validation loss: 1.6295, acc: 0.4772
train loss: 1.4839, acc: 0.5011
validation loss: 1.6260, acc: 0.4783
train loss: 1.4874, acc: 0.5008
validation loss: 1.6226, acc: 0.4712
train loss: 1.4850, acc: 0.5019
validation loss: 1.6372, acc: 0.4716
train loss: 1.4783, acc: 0.5034
validation loss: 1.6277, acc: 0.4714
train loss: 1.4824, acc: 0.5029
validation loss: 1.6408, acc: 0.4666
train loss: 1.4802, acc: 0.5054
validation loss: 1.6494, acc: 0.4611
train loss: 1.4833, acc: 0.5029
validation loss: 1.6444, acc: 0.4699
train loss: 1.4760, acc: 0.5040
validation loss: 1.6548, acc: 0.4722
train loss: 1.4764, acc: 0.5050
validation loss: 1.6067, acc: 0.4806
train loss: 1.4765, acc: 0.5066
validation loss: 1.6628, acc: 0.4676
train loss: 1.4766, acc: 0.5047
validation loss: 1.6366, acc: 0.4712
train loss: 1.4768, acc: 0.5049
validation loss: 1.6290, acc: 0.4710
train loss: 1.4719, acc: 0.5051
validation loss: 1.6414, acc: 0.4696
train loss: 1.4702, acc: 0.5067
validation loss: 1.6168, acc: 0.4686
train loss: 1.4790, acc: 0.5029
validation loss: 1.6124, acc: 0.4803
train loss: 1.4726, acc: 0.5065
validation loss: 1.6225, acc: 0.4774
train loss: 1.4709, acc: 0.5089
validation loss: 1.6326, acc: 0.4721
train loss: 1.4669, acc: 0.5087
validation loss: 1.6528, acc: 0.4662
train loss: 1.4716, acc: 0.5075
validation loss: 1.6235, acc: 0.4674
train loss: 1.4662, acc: 0.5071
validation loss: 1.6162, acc: 0.4766
train loss: 1.4729, acc: 0.5065
validation loss: 1.6489, acc: 0.4637
train loss: 1.4710, acc: 0.5068
validation loss: 1.6281, acc: 0.4695
train loss: 1.4653, acc: 0.5082
validation loss: 1.6069, acc: 0.4780
train loss: 1.4647, acc: 0.5093
validation loss: 1.6601, acc: 0.4688
train loss: 1.4693, acc: 0.5081
validation loss: 1.6242, acc: 0.4722
train loss: 1.6670, acc: 0.3964
validation loss: 1.6611, acc: 0.4090
train loss: 1.5381, acc: 0.4430
validation loss: 1.4794, acc: 0.4635
train loss: 1.4969, acc: 0.4579
validation loss: 1.4522, acc: 0.4689
train loss: 1.4740, acc: 0.4634
validation loss: 1.4366, acc: 0.4689
train loss: 1.4510, acc: 0.4749
validation loss: 1.4372, acc: 0.4743
train loss: 1.4346, acc: 0.4804
validation loss: 1.4132, acc: 0.4932
train loss: 1.4243, acc: 0.4846
validation loss: 1.4138, acc: 0.4894
train loss: 1.4134, acc: 0.4848
validation loss: 1.3861, acc: 0.4975
train loss: 1.3969, acc: 0.4929
validation loss: 1.3905, acc: 0.5009
train loss: 1.3897, acc: 0.4944
validation loss: 1.4496, acc: 0.4743
train loss: 1.3857, acc: 0.5003
validation loss: 1.3901, acc: 0.4917
train loss: 1.3744, acc: 0.5021
validation loss: 1.4100, acc: 0.4941
train loss: 1.3700, acc: 0.5036
validation loss: 1.3761, acc: 0.5049
train loss: 1.3595, acc: 0.5079
validation loss: 1.3895, acc: 0.4975
train loss: 1.3632, acc: 0.5064
validation loss: 1.3773, acc: 0.5087
train loss: 1.3572, acc: 0.5091
validation loss: 1.3685, acc: 0.5117
train loss: 1.3507, acc: 0.5091
validation loss: 1.3555, acc: 0.5110
train loss: 1.3469, acc: 0.5133
validation loss: 1.3888, acc: 0.4966
train loss: 1.3379, acc: 0.5163
validation loss: 1.3769, acc: 0.5043
train loss: 1.3361, acc: 0.5170
validation loss: 1.4025, acc: 0.4953
train loss: 1.3291, acc: 0.5190
validation loss: 1.3683, acc: 0.5032
train loss: 1.3356, acc: 0.5184
validation loss: 1.3820, acc: 0.5017
train loss: 1.3263, acc: 0.5235
validation loss: 1.3930, acc: 0.5024
train loss: 1.3208, acc: 0.5226
validation loss: 1.3437, acc: 0.5114
train loss: 1.3175, acc: 0.5243
validation loss: 1.3555, acc: 0.5109
train loss: 1.3172, acc: 0.5244
validation loss: 1.3586, acc: 0.5121
train loss: 1.3160, acc: 0.5219
validation loss: 1.3744, acc: 0.5040
train loss: 1.3131, acc: 0.5259
validation loss: 1.3554, acc: 0.5137
train loss: 1.3065, acc: 0.5250
validation loss: 1.3696, acc: 0.5051
train loss: 1.2981, acc: 0.5294
validation loss: 1.4007, acc: 0.5006
train loss: 1.3025, acc: 0.5279
validation loss: 1.3441, acc: 0.5120
train loss: 1.2983, acc: 0.5262
validation loss: 1.3613, acc: 0.5072
train loss: 1.2998, acc: 0.5267
validation loss: 1.3719, acc: 0.5121
train loss: 1.2946, acc: 0.5303
validation loss: 1.3543, acc: 0.5151
train loss: 1.2913, acc: 0.5348
validation loss: 1.3319, acc: 0.5191
train loss: 1.2906, acc: 0.5325
validation loss: 1.3928, acc: 0.5066
train loss: 1.2890, acc: 0.5358
validation loss: 1.4038, acc: 0.4949
train loss: 1.2869, acc: 0.5335
validation loss: 1.3918, acc: 0.4989
train loss: 1.2850, acc: 0.5376
validation loss: 1.3629, acc: 0.5147
train loss: 1.2833, acc: 0.5336
validation loss: 1.3654, acc: 0.5107
train loss: 1.2866, acc: 0.5343
validation loss: 1.3562, acc: 0.5184
train loss: 1.2745, acc: 0.5411
validation loss: 1.3555, acc: 0.5106
train loss: 1.2726, acc: 0.5403
validation loss: 1.3385, acc: 0.5197
train loss: 1.2778, acc: 0.5381
validation loss: 1.3585, acc: 0.5116
train loss: 1.2770, acc: 0.5372
validation loss: 1.3662, acc: 0.5118
train loss: 1.2708, acc: 0.5400
validation loss: 1.3604, acc: 0.5174
train loss: 1.2709, acc: 0.5403
validation loss: 1.3537, acc: 0.5079
train loss: 1.2684, acc: 0.5398
validation loss: 1.3507, acc: 0.5168
train loss: 1.2677, acc: 0.5419
validation loss: 1.3468, acc: 0.5111
train loss: 1.2669, acc: 0.5412
validation loss: 1.3745, acc: 0.5043
train loss: 1.2608, acc: 0.5425
validation loss: 1.3509, acc: 0.5195
train loss: 1.2608, acc: 0.5441
validation loss: 1.3673, acc: 0.5087
train loss: 1.2607, acc: 0.5443
validation loss: 1.3463, acc: 0.5245
train loss: 1.2600, acc: 0.5448
validation loss: 1.3413, acc: 0.5225
train loss: 1.2550, acc: 0.5460
validation loss: 1.3264, acc: 0.5256
train loss: 1.2553, acc: 0.5455
validation loss: 1.3627, acc: 0.5052
train loss: 1.2503, acc: 0.5491
validation loss: 1.3368, acc: 0.5191
train loss: 1.2511, acc: 0.5461
validation loss: 1.3828, acc: 0.5102
train loss: 1.2530, acc: 0.5458
validation loss: 1.3428, acc: 0.5202
train loss: 1.2492, acc: 0.5478
validation loss: 1.3583, acc: 0.5205
train loss: 1.2465, acc: 0.5493
validation loss: 1.3443, acc: 0.5191
train loss: 1.2465, acc: 0.5485
validation loss: 1.3550, acc: 0.5138
train loss: 1.2444, acc: 0.5497
validation loss: 1.3377, acc: 0.5170
train loss: 1.2466, acc: 0.5500
validation loss: 1.3501, acc: 0.5120
train loss: 1.2432, acc: 0.5497
validation loss: 1.3749, acc: 0.5063
train loss: 1.2398, acc: 0.5518
validation loss: 1.3816, acc: 0.5074
train loss: 1.2439, acc: 0.5531
validation loss: 1.3474, acc: 0.5226
train loss: 1.2470, acc: 0.5521
validation loss: 1.3624, acc: 0.5174
train loss: 1.2443, acc: 0.5486
validation loss: 1.3984, acc: 0.5052
train loss: 1.2404, acc: 0.5509
validation loss: 1.3621, acc: 0.5143
train loss: 1.2429, acc: 0.5511
validation loss: 1.3578, acc: 0.5171
train loss: 1.2375, acc: 0.5535
validation loss: 1.3531, acc: 0.5143
train loss: 1.2438, acc: 0.5520
validation loss: 1.3339, acc: 0.5237
train loss: 1.2362, acc: 0.5542
validation loss: 1.3496, acc: 0.5147
train loss: 1.2358, acc: 0.5535
validation loss: 1.3595, acc: 0.5205
train loss: 1.2316, acc: 0.5550
validation loss: 1.3881, acc: 0.5013
train loss: 1.2231, acc: 0.5572
validation loss: 1.3772, acc: 0.5134
train loss: 1.2300, acc: 0.5565
validation loss: 1.3616, acc: 0.5167
train loss: 1.2293, acc: 0.5563
validation loss: 1.3354, acc: 0.5232
train loss: 1.2291, acc: 0.5560
validation loss: 1.3783, acc: 0.5087
train loss: 1.2308, acc: 0.5534
validation loss: 1.3725, acc: 0.5122
train loss: 1.2290, acc: 0.5559
validation loss: 1.3686, acc: 0.5188
train loss: 1.2250, acc: 0.5560
validation loss: 1.3632, acc: 0.5144
train loss: 1.2235, acc: 0.5574
validation loss: 1.3638, acc: 0.5137
train loss: 1.2272, acc: 0.5556
validation loss: 1.3403, acc: 0.5226
train loss: 1.2215, acc: 0.5567
validation loss: 1.3400, acc: 0.5238
train loss: 1.2203, acc: 0.5574
validation loss: 1.3613, acc: 0.5170
train loss: 1.2223, acc: 0.5579
validation loss: 1.3383, acc: 0.5251
train loss: 1.2217, acc: 0.5573
validation loss: 1.3888, acc: 0.5029
train loss: 1.2175, acc: 0.5593
validation loss: 1.3171, acc: 0.5255
train loss: 1.2209, acc: 0.5590
validation loss: 1.3497, acc: 0.5199
train loss: 1.2197, acc: 0.5574
validation loss: 1.3400, acc: 0.5170
train loss: 1.2173, acc: 0.5628
validation loss: 1.3737, acc: 0.5132
train loss: 1.2190, acc: 0.5587
validation loss: 1.3300, acc: 0.5224
train loss: 1.2181, acc: 0.5606
validation loss: 1.3500, acc: 0.5197
train loss: 1.2171, acc: 0.5588
validation loss: 1.3661, acc: 0.5079
train loss: 1.2164, acc: 0.5601
validation loss: 1.3622, acc: 0.5182
train loss: 1.2155, acc: 0.5615
validation loss: 1.3615, acc: 0.5210
train loss: 1.2176, acc: 0.5620
validation loss: 1.3772, acc: 0.5064
train loss: 1.2122, acc: 0.5624
validation loss: 1.3588, acc: 0.5132
